127.0.0.1 - - [28/Jul/2023:15:12:53 +0000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:02 +0000] "GET /medicare/WEB-INF/classes/medicare_object/lanchPage.java HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:03 +0000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/resources/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/resources/css/myapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/resources/js/productsController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/resources/js/myapp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:16 +0000] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:17 +0000] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:17 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:17 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:17 +0000] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:17 +0000] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:17 +0000] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:17 +0000] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2023:15:13:17 +0000] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 304 -
