127.0.0.1 - - [11/Aug/2023:17:27:19 +0000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:27:42 +0000] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:27:42 +0000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:27:42 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:27:42 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:27:47 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:28:24 +0000] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:28:24 +0000] "GET /medicare/ HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:28:24 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:28:24 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:28:39 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:28:41 +0000] "GET /medicare/ HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:28:42 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:28:42 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:28:47 +0000] "GET /medicare/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:28:47 +0000] "GET /medicare/login?logout HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:28:59 +0000] "GET /medicare/login?logout HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:29:01 +0000] "GET /medicare/login?logout HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:29:08 +0000] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:29:08 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:29:08 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:30:44 +0000] "GET /medicare/membership HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:30:45 +0000] "GET /medicare/membership?execution=e1s1 HTTP/1.1" 200 6065
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:30:55 +0000] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:30:55 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:30:55 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:31:00 +0000] "GET /medicare/contact HTTP/1.1" 200 5215
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:31:03 +0000] "GET /medicare/home HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:31:03 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:31:04 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:31:06 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:31:08 +0000] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:31:08 +0000] "GET /medicare/ HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:31:08 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:31:08 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:31:14 +0000] "GET /medicare/manage/product HTTP/1.1" 200 11362
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:31:14 +0000] "GET /medicare/json/data/admin/all/products?_=1691775074669 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:31:14 +0000] "GET /medicare/resources/images/PRDABCXYZDEFX.jpg HTTP/1.1" 200 28457
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:43:06 +0000] "GET /medicare/show/all/products HTTP/1.1" 200 7293
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:43:06 +0000] "GET /medicare/json/data/all/products?_=1691775786928 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:43:12 +0000] "GET /medicare/contact HTTP/1.1" 200 5693
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:43:15 +0000] "GET /medicare/home HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:43:15 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:43:15 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:45:50 +0000] "GET /medicare/show/all/products HTTP/1.1" 200 7293
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:45:50 +0000] "GET /medicare/json/data/all/products?_=1691775950078 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:46:33 +0000] "GET /medicare/manage/1/product HTTP/1.1" 200 11439
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:46:34 +0000] "GET /medicare/json/data/admin/all/products?_=1691775993942 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:48:39 +0000] "POST /medicare/manage/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:48:39 +0000] "GET /medicare/manage/product?success=product HTTP/1.1" 200 11552
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:48:39 +0000] "GET /medicare/json/data/admin/all/products?_=1691776119722 HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:49:29 +0000] "GET /medicare/manage/1/product HTTP/1.1" 200 11432
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:49:29 +0000] "GET /medicare/json/data/admin/all/products?_=1691776169049 HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:49:55 +0000] "GET /medicare/show/all/products HTTP/1.1" 200 7293
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:49:55 +0000] "GET /medicare/json/data/all/products?_=1691776195622 HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:54:26 +0000] "GET /medicare/show/all/products HTTP/1.1" 200 7293
0:0:0:0:0:0:0:1 - - [11/Aug/2023:17:54:26 +0000] "GET /medicare/json/data/all/products?_=1691776466522 HTTP/1.1" 200 1249
